name,AQI,PM2.5,PM10,CO,CO2,O3/1,O3/8,SO2
良,76,37,101,1.681,31,84,84,27
良,56,18,62,1.208,9,82,71,26
良,75,32,99,1.421,17,93,43,25
良,85,40,119,1.58,22,85,32,26
良,100,46,149,1.858,39,44,15,25
良,98,42,146,1.972,44,15,8,25
良,93,38,136,1.928,49,8,7,24
良,93,38,136,2.46,56,7,8,25
良,74,30,98,1.972,61,7,21,31
良,88,37,125,2.06,74,7,41,30
良,72,29,94,3.02,81,7,64,34
良,64,26,77,1.847,58,42,82,27
良,68,30,86,1.556,34,86,84,25
良,67,35,84,1.462,25,99,71,24
良,61,28,72,1.497,21,91,50,25
良,67,30,83,1.669,24,73,31,26
良,64,27,78,1.658,25,43,16,27
良,69,28,87,1.804,33,18,9,23
良,75,30,99,2.023,37,8,7,23
良,73,31,96,2.221,44,7,7,29
良,85,48,120,2.085,45,7,10,29
良,89,40,127,3.232,59,7,35,30
良,79,32,107,3.384,63,7,45,29
良,67,27,84,3.461,79,7,63,22
良,54,19,57,1.54,32,63,76,24
良,54,23,58,1.445,22,83,66,27
良,59,30,67,1.56,22,83,54,25
良,57,29,63,1.541,19,70,44,24
轻度污染,109,82,99,1.936,32,41,29,26
轻度污染,115,87,107,2.273,37,20,11,27
_,_,_,_,_,_,_,_,33
_,_,_,_,_,_,_,_,32
轻度污染,101,51,152,2.959,40,7,8,26
良,97,45,144,3.286,48,7,16,21
良,87,38,124,2.875,60,7,29,21
良,71,28,91,2.303,67,8,40,21
良,63,22,76,1.521,46,33,48,21
良,61,24,72,1.209,24,61,41,21
良,76,41,101,1.501,47,53,29,23
良,70,34,90,1.908,49,36,18,18
良,68,34,85,1.837,39,30,15,18
良,58,24,66,1.941,34,20,9,22
良,56,23,61,1.89,38,7,9,24
良,54,20,57,1.584,40,7,10,24
良,54,21,57,1.529,42,8,12,21
良,53,21,55,1.574,44,12,24,20
良,54,17,57,1.558,46,13,38,19
良,52,18,54,3.012,58,7,53,19
优,28,11,28,1.041,15,65,67,20
优,28,11,28,1.034,15,65,65,20
优,25,9,25,0.974,8,74,57,22
优,22,9,22,1.019,7,68,50,24
优,21,9,21,1.088,11,57,45,25
优,22,8,22,1.256,26,34,46,27
